Station,Entry,Exit,Total
Town Hall  Station,1768424,1696517,3464941
Central  Station,1668852,1723781,3392633
Wynyard  Station,1009849,1107751,2117600
Parramatta  Station,851945,863229,1715174
Martin Place  Station,745993,882299,1628292
Chatswood  Station,755723,774123,1529846
Circular Quay  Station,657618,670073,1327691
Bondi Junction  Station,557782,544444,1102226
Strathfield  Station,553988,530757,1084745
Burwood  Station,474109,481404,955513
Sydenham  Station,467490,449449,916939
Gadigal  Station,447768,461253,909021
Redfern  Station,426692,458399,885091
Hurstville  Station,427099,426571,853670
Mascot  Station,361782,355622,717404
Blacktown  Station,345191,347647,692838
Lidcombe  Station,331476,321662,653138
Kings Cross  Station,320457,331477,651934
Epping  Station,319785,309723,629508
Macquarie University  Station,310800,312679,623479
Victoria Cross  Station,309773,308991,618764
Auburn  Station,315195,292577,607772
Hornsby  Station,250757,248642,499399
Crows Nest  Station,248303,250625,498928
Ashfield  Station,240134,234519,474653
Newtown  Station,210546,238002,448548
Kogarah  Station,224923,212366,437289
Domestic  Station,234929,199954,434883
North Sydney  Station,200493,234204,434697
Museum  Station,199960,234397,434357
Rockdale  Station,222093,210059,432152
Barangaroo  Station,197891,227687,425578
Wolli Creek  Station,211312,208342,419654
St Leonards  Station,201990,202497,404487
Rhodes  Station,201043,195434,396477
St James  Station,184136,212228,396364
Green Square  Station,203103,192787,395890
Castle Hill  Station,188126,192916,381042
Liverpool  Station,181513,176638,358151
Cabramatta  Station,177920,174819,352739
Edgecliff  Station,176446,176126,352572
Milsons Point  Station,158936,182754,341690
Tallawong  Station,168824,155673,324497
Penrith  Station,157636,159608,317244
Olympic Park  Station,151515,154434,305949
Eastwood  Station,152135,151508,303643
International  Station,145267,144834,290101
Granville  Station,148484,135637,284121
Sutherland  Station,137043,135435,272478
Merrylands  Station,133927,128407,262334
Westmead  Station,134034,125403,259437
Mount Druitt  Station,131041,128245,259286
Gordon  Station,126046,120434,246480
Waterloo  Station,125185,119612,244797
Campbelltown  Station,121373,118485,239858
Fairfield  Station,123671,115984,239655
Flemington  Station,117404,110863,228267
Rouse Hill  Station,111922,115063,226985
Revesby  Station,114240,110991,225231
Seven Hills  Station,113413,107299,220712
Cherrybrook  Station,109490,103801,213291
Glenfield  Station,111211,101949,213160
West Ryde  Station,98380,98193,196573
Meadowbank  Station,101241,91161,192402
Kellyville  Station,97265,93330,190595
Hills Showground  Station,96659,91191,187850
Gosford  Station,89141,89167,178308
Macquarie Park  Station,89445,87279,176724
Artarmon  Station,89961,84083,174044
Miranda  Station,85243,88240,173483
St Marys  Station,85854,82971,168825
Homebush  Station,87019,81392,168411
Leppington  Station,83136,78259,161395
Edmondson Park  Station,82298,77648,159946
North Ryde  Station,78265,76429,154694
Bella Vista  Station,78672,75429,154101
Wentworthville  Station,79973,74037,154010
Lindfield  Station,76511,74010,150521
Schofields  Station,74593,69538,144131
Norwest  Station,72729,70078,142807
Rooty Hill  Station,73941,68508,142449
Woy Woy  Station,70391,70940,141331
Harris Park  Station,69435,70194,139629
Riverwood  Station,71448,67006,138454
Petersham  Station,70435,66731,137166
Turramurra  Station,71020,66121,137141
Summer Hill  Station,71169,65553,136722
Cronulla  Station,67549,68113,135662
Mortdale  Station,70119,63176,133295
Ingleburn  Station,63008,61269,124277
Macarthur  Station,61779,61169,122948
Pendle Hill  Station,63099,57630,120729
Bankstown  Station,58230,58927,117157
Guildford  Station,62371,54348,116719
Minto  Station,59798,55963,115761
Stanmore  Station,60237,55030,115267
Penshurst  Station,62313,52264,114577
Holsworthy  Station,58878,53949,112827
Toongabbie  Station,58394,53571,111965
Doonside  Station,57118,50912,108030
Roseville  Station,55184,52279,107463
Waitara  Station,55042,51472,106514
Carlton  Station,55654,50006,105660
North Strathfield  Station,52527,51563,104090
St Peters  Station,55372,48347,103719
Padstow  Station,53930,48716,102646
Allawah  Station,54328,47966,102294
Lewisham  Station,53247,48042,101289
